Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Rydon Homes,rydon-homes,63c82b7a254c065170a9ee94,66604e106c41f542151d37e0,Wed Jun 05 2024 11:37:52 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:52 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e106c41f542151d37d7_65e9a32e72ccaeb71ee23377_65817a409d2ea44f23137aac_64946857fd41735033654059_Rydon%25252520Homes%25252520Logo.jpeg,Horsham,South East,south-east,Residential,50,250,Kevin Wilcox (Land Director),,https://rydonhomes.co.uk/land/,kwillcox@rydon.co.uk,false,,,,,,
S Harrison Developments,s-harrison-developments,63c82b7a254c065170a9ee94,66604e116d522c83533e006c,Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e106d522c83533e0010_65e9a32efbc275a629c7f6c4_65817a40565d7ba6e08cdd96_64946857fd4173503365405a_S%25252520Harrison%25252520Developments.jpeg,,"Midlands, North West, North East, Scotland",midlands; north-west; north-east; scotland,Residential,25,100,David Salisbury (Director),,https://www.s-harrison.co.uk/projects,d.Salisbury@s-harrison.co.uk,false,,,,,,
Saren Homes,saren-homes,63c82b7a254c065170a9ee94,66604e1159efb6a343ae90be,Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1159efb6a343ae90b0_65e9a32ea1b42720b8e82e20_65817a407c74b957e77d3e6c_64946857fd4173503365405e_Saren%25252520Homes%25252520logo.jpeg,,South East,south-east,Residential,5,20,Ben Main (Director),,https://www.sarenhomes.co.uk/about-us,info@sarenhomes.co.uk,false,,,,,,
Saul Homes,saul-homes,63c82b7a254c065170a9ee94,66604e11088baaeca8ed3d46,Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e11088baaeca8ed3d34_65e9a32febe3f18232350be2_65817a40df2e4b2a7461876d_64946857fd41735033654050_Saul%25252520Homes%25252520logo.jpeg,,"North West, Midlands",midlands; north-west,Residential,5,25,John Saul (Director),,https://saulhomes.co.uk/our-developments/,info@saulhomes.co.uk,false,,,,,,
Savista,savista,63c82b7a254c065170a9ee94,66604e11483582195eae2ee8,Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e11483582195eae2ec7_65e9a32e678f2e14015f0f4f_65817a40151ed7f8828e2aea_64946857fd4173503365405f_Savista%25252520logo.jpeg,,"London, South East, South West, Midlands",london; south-east; south-west; midlands,Care,5,100,Karen Green (Savista),,https://savista.co.uk/land-planning/,karen.green@savista.co.uk,false,,,,,,
Scotia Homes,scotia-homes,63c82b7a254c065170a9ee94,66604e116c41f542151d38e8,Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:53 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e116c41f542151d38e0_65e9a32ec86f0798cf0594f3_65817a4166fcfa4580f6124d_64946857fd4173503365405c_Scotia%25252520Homes%25252520Logo.png,Perth,Scotland,scotland,Residential,50,250,Graham Reid (Director),,https://www.scotia-homes.co.uk/about-us/land-wanted,Graham.Reid@scotia-homes.co.uk,true,https://planning.fife.gov.uk/online/applicationDetails.do?activeTab=summary&keyVal=RUPGKQHF1AL00,Fife,102,Mon May 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,
Seagate Homes,seagate-homes,63c82b7a254c065170a9ee94,66604e12a70bdf59334582cb,Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e12a70bdf593345829e_65e9a32f06cec32191b7d689_65817a414fb9c0ec8773f83f_64946857fd4173503365405d_Seagate%25252520Homes%25252520Logo.png,SouthHolland,Midlands,midlands,Residential,50,150,Adam Murfet (Managing Director),01406 365533,http://www.seagatehomes.co.uk/land,Adam.Murfet@seagatehomes.co.uk,false,,,,,,
Seddon Homes,seddon-homes,63c82b7a254c065170a9ee94,66604e1226448506de449d40,Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1226448506de449d03_65e9a32f084e2e85c9f8cd81_65817a415f11a0fdf5f05f88_64946857fd41735033654063_Seddon%25252520Homes.jpeg,Preston,Midlands,midlands,Residential,100,,Ted Macdougal (Development Director),,https://www.seddonhomes.co.uk/land-required/,ted.macdougal@seddonhomes.co.uk,false,,,,,,
SevenHomes,sevenhomes,63c82b7a254c065170a9ee94,66604e126cf9ea143f399c79,Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:54 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e126cf9ea143f399c6c_65e9a32fb42b7d9fc2c96e80_65817a428164247f73038189_64946857fd41735033654055_Seven%25252520Homes%25252520logo.jpeg,,Midlands,midlands,Residential,5,,Jack Barnes (Land Manager),,https://sevenhomes.co.uk/land-required/,land@sevenhomes.co.uk,false,,,,,,
Shanly Homes,shanly-homes,63c82b7a254c065170a9ee94,66604e13b64ffb40b244d656,Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e12b64ffb40b244d64f_65e9a32f4bbc68da91d35e31_65817a425f11a0fdf5f05fbc_64946857fd41735033654069_Shanly%25252520Homes%25252520Ltd%25252520Logo.png,Slough,South East,south-east,Residential,150,500,Jack Harris (Acquisitions Director),,https://www.shanlyhomes.com/land-we-buy/,land@shanlyhomes.com,false,,,,,,
Sheen Lane Developments,sheen-lane-developments,63c82b7a254c065170a9ee94,66604e1342c4564b25fda34a,Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1242c4564b25fda325_65e9a32fd0156d4c65d7f96e_65817a422b404f4f37ddb726_64946857fd41735033654057_Sheen%25252520Lane%25252520Developments%25252520logo.png,Runnymede,"South East, London",south-east; london,Residential,50,100,Andrew Cooper (Director),,https://www.sheenlane.co.uk/land-required/,acooper@sheenlane.co.uk,false,,,,,,
Shropshire Homes,shropshire-homes,63c82b7a254c065170a9ee94,66604e136a25e6e3782399e9,Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e136a25e6e3782399d9_65e9a32fae50354afcef9574_65817a43e5687e87c556c0a6_64946857fd4173503365404f_Shropshire%25252520Homes%25252520logo.png,"Telford, Shropshire","Midlands, North West",midlands; north-west,Residential,100,150,Richard Shackleton (Managing Director),01743 761789,https://www.shropshire-homes.com/about-us/who-we-are,Richard.Shackleton@shropshire-homes.com,false,,,,,,
Sigma Homes,sigma-homes,63c82b7a254c065170a9ee94,66604e13155b1f729774453e,Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e13155b1f72977444e6_65e9a32f3856efb0b1b5f7e6_65817a43ae55375385f026d9_64946857fd41735033654051_Sigma%25252520Homes%25252520logo.png,,"London, South East",london; south-east,Residential,5,20,Chris East (Group Land Director),,https://sigmahomesgroup.co.uk/land/immediate-land,chrise@sigmahomesgroup.co.uk,false,,,,,,
Spitfire Homes,spitfire-homes,63c82b7a254c065170a9ee94,66604e1328941e3f47ef3a39,Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:55 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1328941e3f47ef39f8_65e9a32ff9fe40fa38e6bd5c_65817a439d2ea44f23137d0e_64946857fd4173503365406d_Spitfire%25252520Homes.jpeg,,Midands,midlands,Residential,10,50,Richard Miller (Land Director),,https://spitfirehomes.co.uk/land/,Richard.Miller@spitfirehomes.co.uk,false,,,,,,
Springfield Properties,springfield-properties,63c82b7a254c065170a9ee94,66604e14c03fd9e04cef383b,Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e14c03fd9e04cef3827_65e9a3307b17a92daebccc84_65817a438164247f73038273_64946857fd41735033654052_Springfield%25252520Properties%25252520logo.png,"Dumfries, Fife, Moray, SouthLanarkshire",Scotland,scotland,Residential,50,250,David Jewel (Head of Land),01324 555536,https://www.springfield.co.uk/about/land_acquisition,David.Jewell@springfield.co.uk,true,,,,,,
Springfield Properties,springfield-properties-62856,63c82b7a254c065170a9ee94,66604e1428941e3f47ef3a73,Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri Mar 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e14c03fd9e04cef3827_65e9a3307b17a92daebccc84_65817a438164247f73038273_64946857fd41735033654052_Springfield%25252520Properties%25252520logo.png,,Scotland,scotland,Residential,25,250,David Jewel (Head of Land),,https://www.thespringfieldgroup.co.uk/land-planning,David.Jewell@springfield.co.uk,true,https://publicaccess.moray.gov.uk/eplanning/applicationDetails.do?activeTab=summary&keyVal=S74ZJRBGMB800,Moray,31,Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/residential?*=springfield
Square One Homes,square-one-homes,63c82b7a254c065170a9ee94,66604e14217c0b26b9d733aa,Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e14217c0b26b9d733a2_65e9a330e4afc92bd7b92f2f_65817a43206eb252fe5d9496_64946857fd41735033654046_Square%25252520One%25252520Homes%25252520logo.png,,North West,north-west,Residential,5,10,Peter Skelton (Director),,https://www.squareonehomes.co.uk/land-wanted/,PSkelton@squareonehomes.co.uk,false,,,,,,
St Congar,st-congar,63c82b7a254c065170a9ee94,66604e144acd49139c991237,Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:56 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e144acd49139c9911b3_65e9a33079e945a5ad50e80a_65817a4491e45d0bbade0b8d_64946857fd41735033654056_St%25252520Congar%25252520Logo.png,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,100,2500,Charlie Gordon (Director),,http://stcongar.com/,charlie@stcongar.com,false,,,,,,
Stancliffe Homes,stancliffe-homes,63c82b7a254c065170a9ee94,66604e15cc829909c1d52862,Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e14cc829909c1d5285c_65e9a330f7e121040add3089_65817a4479f8f1f21ba03ed8_64946857fd41735033654054_Stancliffe%25252520Homes.jpeg,,Midlands,midlands,Residential,5,25,Sam Jones (Director),,https://www.stancliffehomes.co.uk/land-opportunities,info@stancliffehomes.co.uk,true,https://planning.derbyshiredales.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RSOKU0FUK9A00,DerbyshireDales,41,Tue May 02 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,
Stanley Investments,stanley-investments,63c82b7a254c065170a9ee94,66604e154f2ea52d97fd806a,Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e144f2ea52d97fd8064_65e9a330a6b6449e81402ca5_65817a44d3b258d33bfb3755_64946857fd41735033654060_Stanley%25252520Investments%25252520logo.jpeg,,"North West, Midlands",north-west; midlands,Residential,10,100,Chris Curtis (Director),,https://staninvest.co.uk/procurement/we-are-buying-land/,Chris.Curtis@staninvest.co.uk,false,,,,,,
Step Places,step-places,63c82b7a254c065170a9ee94,66604e15fe8370961263b3ac,Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e15fe8370961263b3a6_65e9a3303d2b4252b76ac144_65817a45a05b97035889d021_64946857fd41735033654053_Step%25252520Places%25252520logo.jpeg,,North West,north-west,Residential,25,100,Matt Guirdham (Development),,https://step-places.com/,info@step-places.com,false,,,,,,
Stewart Milne Homes,stewart-milne-homes,63c82b7a254c065170a9ee94,66604e16c11aff0da8a2a33a,Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e15c11aff0da8a2a323_65e9a330e44da13127192d5e_65817a45206eb252fe5d9597_64946857fd4173503365404b_Stewart%25252520Milne%25252520Homes%25252520Logo.jpeg,"Midlothian, Aberdeen",Scotland,scotland,Residential,100,250,Richard Fawcus (Land Director),,https://www.stewartmilnehomes.com/buying-land,RichardFawcus@stewartmilne.com,false,,,,,,
Stonebond Properties,stonebond-properties,63c82b7a254c065170a9ee94,66604e15cc829909c1d528bd,Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri Feb 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e15cc829909c1d528b1_65e9a331ad8e74d9fc47a99e_65817a4530adff39ca8bfb51_64a7e9941137222a6c1d261d_stonebondproperties..png,,North West; Midlands; South East; East Anglia,north-west; midlands; south-east; east-anglia,,10,250,Will Owers (Head of Land),,https://www.stonebondproperties.com/land-acquisition/,will.owers@stonebondltd.com,true,https://publicaccess.brentwood.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RUED9RDJGBQ00,Brentwood,24,Thu May 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/residential?*=Stonebond
Stonebridge Homes,stonebridge-homes,63c82b7a254c065170a9ee94,66604e1567bebb0912bb2b22,Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1567bebb0912bb2b1b_65e9a3301c67b6ef1dff139c_65817a454d341b8e996d5812_64946857fd4173503365404c_Stonebridge%25252520Logo.jpeg,Middlesbrough,North East,north-east,Residential,50,250,Martin Acott (Land Director),,https://stonebridgehomes.co.uk/,land@stonebridgehomes.co.uk,false,,,,,,
Stonegate Homes,stonegate-homes,63c82b7a254c065170a9ee94,66604e16f9f768cc02b0e9b8,Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri May 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e16f9f768cc02b0e9ab_663e18aabe8efedd60193ee3_Stonegate%2520Homes.jpeg,,South East,south-east,Residential,50,500,Steven Naylor (Land Manager),,https://www.stonegatehomes.co.uk/meet-the-team.php,steven@stonegatehomes.co.uk,true,https://planning.agileapplications.co.uk/mole/application-details/125335,MoleValley,69,Mon Mar 25 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/steven-paul-naylor-08020515/,
Stonewater,stonewater,63c82b7a254c065170a9ee94,66604e16d3035c0fcd772bd2,Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e16d3035c0fcd772bca_65e9a33112d22ed323e71e44_65817a46a1edb8c6b9682364_64946857fd41735033654045_Stonewater%25252520logo.jpeg,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,5,150,Phillippa Yeates (Head of Development),,https://www.stonewater.org/about-us/building-homes/meet-our-development-team/,newhomes@stonewater.org,false,,,,,,
Stonewood Homes,stonewood-homes,63c82b7a254c065170a9ee94,66604e169a6c2841c89a1ccd,Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri Feb 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e169a6c2841c89a1c7f_65e9a3318d812412bcc1a85a_65d8b655b970ad5a16297183_Stonewood%252520Homes.png,,South West,south-west,Residential,10,100,James Petherick (Land Director),,,jpetherick@stonewoodhomes.co.uk,true,https://publicaccess.mendip.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S7Q08PKPJBW00,Mendop,38,Wed Jan 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/jamespetherick/,https://www.planninglist.co.uk/sectors/residential?*=stonewood
Story Homes,story-homes,63c82b7a254c065170a9ee94,66604e166c41f542151d3b60,Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e166c41f542151d3b37_65e9a3311699e0c717416d40_65817a460000cb93c2d13777_64946857fd4173503365404e_Story%25252520Homes%25252520logo.png,"Dumfries, SouthLakeland, Preston","Scotland, North West, North East",scotland; north-west; north-east,Residential,50,500,Stuart Morgan (Land Director),,https://www.storyhomes.co.uk/land-planning/land-overview/,Stuart.Morgan@storyhomes.co.uk,false,,,,,,
Stratfield Homes,stratfield-homes,63c82b7a254c065170a9ee94,66604e174f2ea52d97fd81bd,Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e174f2ea52d97fd81a8_65e9a3317d1533733deff37a_65817a464fb9c0ec8773fa4f_64946857fd41735033654071_Stratfield%25252520Homes.png,,South East,south-east,Residential,5,25,Paul Cooper (Managing Director),,https://www.stratfieldhomes.co.uk/land/,info@stratfieldhomes.co.uk,false,,,,,,
Strongvox Homes,strongvox-homes,63c82b7a254c065170a9ee94,66604e17c11aff0da8a2a39c,Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e17c11aff0da8a2a396_65e9a33106cec32191b7d794_65817a46062834ab35d2cb2a_64946857fd4173503365404d_Strongvox%25252520Homes%25252520Logo.jpeg,NorthSomerset,South West,south-west,Residential,50,150,Simon Tannahill (Land and Planning Director),,https://www.strongvox.co.uk/land/,Simon.Tannahill@strongvox.co.uk,true,https://planning.n-somerset.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R7NW07LPIJ600,North Somerset,87,Wed Mar 23 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,
Summerfield,summerfield,63c82b7a254c065170a9ee94,66604e176d522c83533e0384,Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e176d522c83533e0379_65e9a3311699e0c717416d5d_65817a475c7a0752bc526766_64946857fd4173503365404a_Summerfield%25252520Logo.png,,South West,south-west,Residential,10,50,Simon King (Land Buyer),,https://www.summerfield.co.uk/the-right-place/,sking@summerfield.co.uk,false,,,,,,
Sunley Estates,sunley-estates,63c82b7a254c065170a9ee94,66604e175e65176e9b3f3d82,Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e175e65176e9b3f3d63_65e9a331fa580e3ff04084b6_65817a4761be05d0e6339c6e_64946857fd4173503365403c_Sunley%25252520Estates%25252520Ltd%25252520Logo.png,Chichester,"South East, London",south-east; london,Residential,25,150,Richard Evans (Land Director),01276 409 901,https://www.sunley.co.uk/land/,revans@sunley.co.uk,true,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QK04M9ER0UX00,Chichester,66,Mon Nov 23 2020 00:00:00 GMT+0000 (Coordinated Universal Time),,
T.A. Fisher,t-a-fisher,63c82b7a254c065170a9ee94,66604e1728941e3f47ef3cea,Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e1728941e3f47ef3ce4_65e9a33119b2da000e627f34_65817a4721862a981fb612fe_64946857fd41735033654049_T.A.%25252520Fisher%25252520logo.png,,South East,south-east,Residential,25,250,Chris Boullier (Property),,https://www.tafisher.co.uk/land/,land@tafisher.co.uk,false,,,,,,
Taggart Homes,taggart-homes,63c82b7a254c065170a9ee94,66604e18b936290636139708,Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e17b9362906361396fe_65e9a331bb348ed9c44adfa4_65817a486a28387a231d0acd_64946857fd4173503365403e_Taggart%25252520Homes%25252520logo.png,,"Northern Ireland, Midlands",northern-ireland; midlands,Residential,5,25,Michael Taggart (CEO),,https://www.taggarthomes.com/designandbuild,michael@taggarthomes.com,false,,,,,,
TC Homes,tc-homes,63c82b7a254c065170a9ee94,66604e18b936290636139710,Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e18b936290636139702_65e9a332e05ab5c325d359b2_65817a480201cdf8b869cd91_64946857fd41735033654048_TC%25252520Homes%25252520logo.jpeg,,Midlands,midlands,Residential,10,50,Scott Drummond (Development Manager),,https://www.tchomes.co.uk/land-wanted/,S_Drummond@tchomes.co.uk,false,,,,,,
Telford Homes,telford-homes,63c82b7a254c065170a9ee94,66604e18df59732aab47391f,Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:38:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604e18df59732aab473901_65e9a3320e564331303b7e21_65817a48a05b751a6bde9bd7_64946857fd41735033654047_Telford%25252520Homes%25252520logo.jpeg,,"London, South East",london; south-east,Residential,10,100,Nick Martin (Land Manager),01992 809 800,https://www.telfordhomes-ir.london/partners/land/,land@telfordhomes.london,true,https://planning.redbridge.gov.uk/redbridge/application-details/192393,Redbridge,837,Tue Jul 12 2022 00:00:00 GMT+0000 (Coordinated Universal Time),,
